"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","279","Login with invalid credentials--Regression","","Thu May 22 17:19:08 IST 2025","passed","Thu May 22 17:19:09 IST 2025","","Login Page Test","",""
"","331","Login with locked out user--Regression","","Thu May 22 17:19:09 IST 2025","passed","Thu May 22 17:19:09 IST 2025","","Login Page Test","",""
"","3298","Checking Login Page UI Elements Visibility--Smoke, Regression","","Thu May 22 17:19:05 IST 2025","passed","Thu May 22 17:19:08 IST 2025","","Login Page Test","",""
"","826","Logout from burger menu--Regression","","Thu May 22 17:19:10 IST 2025","passed","Thu May 22 17:19:11 IST 2025","","Inventory Page Tests","",""
"","530","Verify product sorting (Name A to Z)--Regression","","Thu May 22 17:19:09 IST 2025","passed","Thu May 22 17:19:10 IST 2025","","Inventory Page Tests","",""
"","14436","Checkout with valid info--Smoke, Regression, Sanity, E2E","","Thu May 22 17:19:05 IST 2025","passed","Thu May 22 17:19:19 IST 2025","","Checkout Flow Tests","",""
"","479","Login with valid credentials--Smoke, Regression","","Thu May 22 17:19:08 IST 2025","passed","Thu May 22 17:19:08 IST 2025","","Login Page Test","",""
"","9837","Checkout with missing info--Regression, Sanity, E2E","","Thu May 22 17:19:19 IST 2025","passed","Thu May 22 17:19:29 IST 2025","","Checkout Flow Tests","",""
"","13254","Verify order summary and finish--Smoke, Regression, Sanity, E2E","","Thu May 22 17:19:29 IST 2025","passed","Thu May 22 17:19:42 IST 2025","","Checkout Flow Tests","",""
"","407","Add a product to cart--Smoke, Regression","","Thu May 22 17:19:08 IST 2025","passed","Thu May 22 17:19:09 IST 2025","","Inventory Page Tests","",""
"","12960","Add multiple items and verify in cart--Regression","","Thu May 22 17:19:05 IST 2025","passed","Thu May 22 17:19:18 IST 2025","","Cart Page Tests","",""
"","19913","Remove item from cart--Regression","","Thu May 22 17:19:18 IST 2025","passed","Thu May 22 17:19:38 IST 2025","","Cart Page Tests","",""
"","3553","Verify all products are displayed--Smoke, Regression","","Thu May 22 17:19:05 IST 2025","passed","Thu May 22 17:19:08 IST 2025","","Inventory Page Tests","",""
"","699","Remove a product from cart--Regression","","Thu May 22 17:19:09 IST 2025","passed","Thu May 22 17:19:09 IST 2025","","Inventory Page Tests","",""
